Object_Image,Tag,image_main_subject,inception_Date,Category
View of Beverwijk,painting by Salomon van Ruysdael,http://commons.wikimedia.org/wiki/Special:FilePath/Salomon%20van%20Ruysdael%20-%20View%20of%20Beverwijk%20-%201982.396%20-%20Museum%20of%20Fine%20Arts.jpg,1646-01-01T00:00:00Z,illustration
Rue Saint-Honoré in the Afternoon. Effect of Rain,painting by Camille Pissarro,http://commons.wikimedia.org/wiki/Special:FilePath/Camille%20Pissarro%20-%20Rue%20Saint-Honor%C3%A9%2C%20dans%20l%27apr%C3%A8s-midi.%20Effet%20de%20pluie.jpg,1897-01-01T00:00:00Z,illustration
Suermondt-Ludwig-Museum,"art museum in Aachen, Germany",http://commons.wikimedia.org/wiki/Special:FilePath/Aachen%20Villa%20Cassalette.jpg,1883-01-01T00:00:00Z,illustration
Federal Bureau of Investigation,U.S. federal law enforcement agency,http://commons.wikimedia.org/wiki/Special:FilePath/Patch%20of%20the%20FBI%20Police.png,1908-07-26T00:00:00Z,illustration
The Rape of Tamar,painting by Eustache Le Sueur,http://commons.wikimedia.org/wiki/Special:FilePath/Rape%20of%20Tamar%20-%20Le%20Seur.jpg,1640-01-01T00:00:00Z,illustration
Chrysler Museum of Art,"art museum in Norfolk, Virginia",http://commons.wikimedia.org/wiki/Special:FilePath/Chryslermuseum.jpg,1933-01-01T00:00:00Z,illustration
Victoria and Albert Museum,"museum in London, England, United Kingdom",http://commons.wikimedia.org/wiki/Special:FilePath/Victoria%20%26%20Albert%20Museum%20Entrance%2C%20London%2C%20UK%20-%20Diliff.jpg,1852-01-01T00:00:00Z,illustration
Toledo Museum of Art,"Art museum in Toledo, Ohio, USA",http://commons.wikimedia.org/wiki/Special:FilePath/Toledo%20Museum%20of%20Art%20exterior%2002.jpg,1901-01-01T00:00:00Z,illustration
Louvre Abu Dhabi,"art museum in Abu Dhabi, United Arab Emirates",http://commons.wikimedia.org/wiki/Special:FilePath/LouvreAD%20tree.jpg,2007-03-07T00:00:00Z,illustration
United States Department of Justice,U.S. federal executive department in charge of law enforcement,http://commons.wikimedia.org/wiki/Special:FilePath/U.S.%20Department%20of%20Justice%20headquarters%2C%20August%2012%2C%202006.jpg,1870-07-01T00:00:00Z,illustration
J. Paul Getty Museum,"art museum in Los Angeles, California",http://commons.wikimedia.org/wiki/Special:FilePath/Aerial%20Getty%20Museum.jpg,1974-01-01T00:00:00Z,illustration
Sand Hills in Engadine,painting by Ernst Ludwig Kirchner,http://commons.wikimedia.org/wiki/Special:FilePath/Kirchner%20-%20Sandberge%20Engadin.jpg,1918-01-01T00:00:00Z,illustration
Sand Hills in Engadine,painting by Ernst Ludwig Kirchner,http://commons.wikimedia.org/wiki/Special:FilePath/Kirchner%20-%20Sandberge%20Engadin.jpg,1917-01-01T00:00:00Z,illustration
Art Institute of Chicago,"art museum and school in Chicago, United States",http://commons.wikimedia.org/wiki/Special:FilePath/Art%20Institute%20of%20Chicago%20%2851575570710%29.jpg,1879-01-01T00:00:00Z,illustration
Art Institute of Chicago,"art museum and school in Chicago, United States",http://commons.wikimedia.org/wiki/Special:FilePath/Art%20Institute%20of%20Chicago%2C%20Illinois%2C%20Estados%20Unidos%2C%202012-10-20%2C%20DD%2001.jpg,1879-01-01T00:00:00Z,illustration
Woman's Head,Sculpture by Amedeo Modigliani,http://commons.wikimedia.org/wiki/Special:FilePath/Woman%27s%20Head%20MET%20DT203050.jpg,1912-01-01T00:00:00Z,illustration
Museum of Fine Arts Boston,"art museum in Boston, Massachusetts, United States",http://commons.wikimedia.org/wiki/Special:FilePath/MFABoston1.jpg,1870-01-01T00:00:00Z,illustration
Fondation Maeght,art museum in France with sculpturegarden by Joan Miró,http://commons.wikimedia.org/wiki/Special:FilePath/02%20Fondation%20Maeght.JPG,1964-01-01T00:00:00Z,illustration
Apple Tree II,painting by Gustav Klimt,http://commons.wikimedia.org/wiki/Special:FilePath/Gustav%20Klimt%20013.jpg,1916-01-01T00:00:00Z,illustration
The pea harvest,painting by Camille Pissarro (1887),http://commons.wikimedia.org/wiki/Special:FilePath/Pissarro%20-%20La%20cueillette%20des%20pois.jpg,1887-01-01T00:00:00Z,illustration
France,country in Western Europe,http://commons.wikimedia.org/wiki/Special:FilePath/Paris%20from%20the%20Arc%20de%20Triomphe%2C%2017%20October%202019.jpg,0843-08-01T00:00:00Z,illustration
Portrait of a Gentleman,"painting by El Greco (Julius Priester, Ritter von Schoeller)",http://commons.wikimedia.org/wiki/Special:FilePath/El%20Greco%20-%20Portrait%20of%20a%20Gentleman%2C%20Julius%20Priester.jpg,1570-01-01T00:00:00Z,illustration
,,,,illustration
Cupid Complaining to Venus,painting by Lucas Cranach the Elder in the National Gallery London,http://commons.wikimedia.org/wiki/Special:FilePath/Lucas%20Cranach%20%28I%29%20-%20Venus%20and%20Cupid%20%28National%20Gallery%2C%20London%29.jpg,1526-01-01T00:00:00Z,illustration
Louvre Museum,"art and archeology museum in Paris, France",http://commons.wikimedia.org/wiki/Special:FilePath/Cour%20Napol%C3%A9on%20at%20night%20-%20Louvre.jpg,1793-08-10T00:00:00Z,illustration
Rosebushes under the Trees,painting by Gustav Klimt,http://commons.wikimedia.org/wiki/Special:FilePath/Gustav%20Klimt%20-%20Rosebushes%20under%20the%20Trees%20-%20Google%20Art%20Project.jpg,1905-01-01T00:00:00Z,illustration
Met Gala,annual fundraising gala for the Metropolitan Museum of Art's Costume Institute,http://commons.wikimedia.org/wiki/Special:FilePath/Billie%20Eilish%20at%20the%202021%20Met%20Gala%20-%2002.jpg,1948-01-01T00:00:00Z,illustration
Seated Man with a Cane,painting by Amedeo Modigliani,http://commons.wikimedia.org/wiki/Special:FilePath/Amedeo%20Modigliani%20L%E2%80%99Homme%20assis%201918.jpg,1918-01-01T00:00:00Z,illustration
Portrait of Adele Bloch-Bauer I,painting by Gustav Klimt,http://commons.wikimedia.org/wiki/Special:FilePath/Gustav%20Klimt%2C%201907%2C%20Adele%20Bloch-Bauer%20I%2C%20Neue%20Galerie%20New%20York.jpg,1907-01-01T00:00:00Z,illustration
Cleveland Museum of Art,"art museum in Cleveland, Ohio",http://commons.wikimedia.org/wiki/Special:FilePath/Springtime%20art%20museum.jpg,1913-01-01T00:00:00Z,illustration
Gustavianum,"university building in Uppsala, Sweden, containing the university museum of Uppsala University and an early modern anatomical theatre",http://commons.wikimedia.org/wiki/Special:FilePath/GUSTAVIANUM%201.jpg,1997-06-17T00:00:00Z,illustration
Deutsches Museum,world's largest museum of science and technology,http://commons.wikimedia.org/wiki/Special:FilePath/Deutsches%20Museum%20Portrait%204.jpg,1903-06-28T00:00:00Z,illustration
Metropolitan Museum of Art,"art museum in New York City, United States",http://commons.wikimedia.org/wiki/Special:FilePath/Metropolitan%20Museum%20of%20Art%20%28The%20Met%29%20-%20Central%20Park%2C%20NYC.jpg,1870-01-01T00:00:00Z,illustration
The Fairy Tale of the Frog King,"painting by Franz von Stuck which was copied, replaced by a forgery, sold and recovered",http://commons.wikimedia.org/wiki/Special:FilePath/Das%20M%C3%A4rchen%20vom%20Froschk%C3%B6nig%20%28Stuck%2C%201891%29.jpg,1891-01-01T00:00:00Z,illustration
Norton Simon Museum,"art museum in Pasadena, California",http://commons.wikimedia.org/wiki/Special:FilePath/Norton%20Simon%20Lobby.JPG,1969-01-01T00:00:00Z,illustration
"Museum of Fine Arts, Houston","art museum in Houston, Texas",http://commons.wikimedia.org/wiki/Special:FilePath/Housmfa.jpg,1900-01-01T00:00:00Z,illustration
Hobby Lobby,American arts-and-crafts store chain based in Oklahoma,http://commons.wikimedia.org/wiki/Special:FilePath/HobbyLobbyStowOhio.JPG,1972-01-01T00:00:00Z,illustration
New York City,most populous city in the United States,http://commons.wikimedia.org/wiki/Special:FilePath/NYC%20Downtown%20Manhattan%20Skyline%20seen%20from%20Paulus%20Hook%202019-12-20%20IMG%207347%20FRD%20%28cropped%29.jpg,1626-01-01T00:00:00Z,illustration
New York City,most populous city in the United States,http://commons.wikimedia.org/wiki/Special:FilePath/NYC%20Downtown%20Manhattan%20Skyline%20seen%20from%20Paulus%20Hook%202019-12-20%20IMG%207347%20FRD%20%28cropped%29.jpg,1624-01-01T00:00:00Z,illustration
Bruce Museum of Arts and Science,"museum in Greenwich, Connecticut",http://commons.wikimedia.org/wiki/Special:FilePath/GreenwichCTBruceMuseumEntrance09212007.JPG,1912-01-01T00:00:00Z,illustration
Yale University Art Gallery,"art museum in New Haven, Connecticut",http://commons.wikimedia.org/wiki/Special:FilePath/Yale%20University%20Art%20Gallery%20exterior.jpg,1832-01-01T00:00:00Z,illustration
Denver Art Museum,"museum in Denver, Colorado, United States",http://commons.wikimedia.org/wiki/Special:FilePath/Denver%20art%20museum%20night%20archipreneur%20adam%20crain.jpg,1893-01-01T00:00:00Z,illustration
The Oyster Meal,painting by Jacob Ochtervelt looted by Nazis in WWII,http://commons.wikimedia.org/wiki/Special:FilePath/Les%20Hu%C3%AEtres%20-%20Jacob%20Ochtervelt.jpg,1664-01-01T00:00:00Z,illustration
United States Department of Homeland Security,United States federal department,http://commons.wikimedia.org/wiki/Special:FilePath/DHS%20Secretary%20Alejandro%20Mayorkas%20Flag%20Raising%20Ceremony%20%2850914852532%29.jpg,2002-11-25T00:00:00Z,illustration
Flowers in a Wan-Li Vase,painting by Balthasar van der Ast in Aachen,http://commons.wikimedia.org/wiki/Special:FilePath/Balthasar%20van%20der%20Ast%20-%20Flowers%20in%20a%20Wan-Li%20Vase.jpg,1620-01-01T00:00:00Z,illustration
Portrait of Fräulein Lieser,painting by Gustav Klimt (1917),http://commons.wikimedia.org/wiki/Special:FilePath/Gustav%20Klimt%20Fr%C3%A4ulein%20Lieser.jpg,1917-01-01T00:00:00Z,illustration
Sotheby's,auction house,http://commons.wikimedia.org/wiki/Special:FilePath/Sotheby%27s%20%2851921999492%29.jpg,1744-01-01T00:00:00Z,illustration
Norton Simon Museum,"art museum in Pasadena, California",http://commons.wikimedia.org/wiki/Special:FilePath/Norton%20Simon%20Lobby.JPG,1942-01-01T00:00:00Z,illustration
Belvedere,"museum housed in the Belvedere palace, in Vienna, Austria",http://commons.wikimedia.org/wiki/Special:FilePath/Wien%20-%20Schloss%20Belvedere%2C%20oberes%20%281%29.JPG,1907-01-01T00:00:00Z,illustration
Christie's,art business and fine arts auction house,http://commons.wikimedia.org/wiki/Special:FilePath/ChristiesNewYork.JPG,1766-01-01T00:00:00Z,illustration
The Marketplace at Pirna,"painting by Bernardo Bellotto (Museum of Fine Arts, Houston)",http://commons.wikimedia.org/wiki/Special:FilePath/Bernardo%20Bellotto%20-%20The%20Marketplace%20at%20Pirna%20-%2061.71%20-%20Museum%20of%20Fine%20Arts.jpg,1764-01-01T00:00:00Z,illustration
Tate,art institution in the United Kingdom,http://commons.wikimedia.org/wiki/Special:FilePath/Tate%20Britain%20%285822081512%29%20%282%29.jpg,1897-01-01T00:00:00Z,illustration
National Gallery,"art museum in London, England",http://commons.wikimedia.org/wiki/Special:FilePath/Galer%C3%ADa%20Nacional%2C%20Londres%2C%20Inglaterra%2C%202014-08-07%2C%20DD%20036.JPG,1824-01-01T00:00:00Z,illustration
Olive Picking,painting by Vincent van Gogh (1889),http://commons.wikimedia.org/wiki/Special:FilePath/Van%20Gogh%20-%20Olivenpfl%C3%BCcker2.jpeg,1889-12-01T00:00:00Z,illustration
National Gallery of Victoria,"art museum in Melbourne, Australia",http://commons.wikimedia.org/wiki/Special:FilePath/National%20Gallery%20of%20Victoria%20from%20Eurkea%20Tower.jpg,1861-01-01T00:00:00Z,illustration